Symbol,5D_return,3M_return,1Y_return,score_short,score_medium,score_long,RSI,MACD,EMA_signal,RSI_score,MACD_score,EMA_score,combined_strength
MUTHOOTFIN.NS,0.0250697605474369,0.3164880308053653,0.997229500438672,0.9085365853658536,0.9695121951219512,0.9959349593495936,79.92599153856015,148.37614774387794,3600.6318374808075,0.99,0.9860279441117764,0.8642714570858283,0.9648373983739837
CHENNPETRO.NS,0.0356903868741326,0.3220386436640139,0.4862592511546847,0.945121951219512,0.9735772357723578,0.9390243902439024,37.15472656893981,12.10642776929069,960.1672044658148,0.334,0.8183632734530938,0.5269461077844312,0.9526422764227642
M&MFIN.NS,0.0531656589367391,0.3681768618953173,0.3612226794192775,0.9817073170731708,0.9878048780487804,0.8983739837398373,80.1110278207324,17.668905153358082,340.774109921854,0.992,0.8502994011976048,0.2395209580838323,0.9505081300813008
CANBK.NS,0.0187799147353195,0.4150401892874579,0.5579705398540395,0.8638211382113821,0.9959349593495936,0.9634146341463414,71.73912122905975,5.14480771294663,145.96975661289977,0.956,0.7584830339321357,0.0958083832335329,0.9498983739837399
ASAHIINDIA.NS,0.0262569276650038,0.3024375795472076,0.5477470927435161,0.9105691056910568,0.9613821138211384,0.9552845528455284,70.0396265772149,31.247913019994712,1000.6122580906966,0.942,0.9141716566866268,0.5489021956087824,0.946239837398374
ABCAPITAL.NS,0.0212979201458422,0.2365870804691193,0.839787895123128,0.8780487804878049,0.943089430894309,0.9878048780487804,77.73478328946241,10.764107989957893,338.6198466468994,0.982,0.8023952095808383,0.2375249500998004,0.9447154471544714
LAURUSLABS.NS,0.049260061614206,0.1573437216924209,0.7986626404907258,0.9735772357723578,0.8780487804878049,0.983739837398374,66.3960547916873,21.202840584601745,993.1351605571414,0.914,0.872255489021956,0.5429141716566867,0.9442073170731708
PTCIL.NS,0.0177005789909015,0.3648868510575359,0.5517197381733054,0.8536585365853658,0.9857723577235772,0.9573170731707316,67.6056338028169,397.0059505360623,17639.78891605059,0.924,0.996007984031936,0.9840319361277444,0.941361788617886
ASHOKLEY.NS,0.0894931326227999,0.1900399112526279,0.4469534973294743,0.9959349593495936,0.9146341463414634,0.9288617886178862,79.56598092798501,5.144293662648039,149.41689347424966,0.986,0.7564870259481038,0.0998003992015968,0.9406504065040651
AUBANK.NS,0.0103801042349279,0.3771347258507502,0.6589382357011209,0.790650406504065,0.9898373983739838,0.9817073170731708,82.89887981718385,30.482908994344484,919.0139334981088,0.994,0.9101796407185628,0.5149700598802395,0.9367886178861788
POWERINDIA.NS,0.0205368402089713,0.2020582462468834,0.848174934579859,0.8719512195121951,0.91869918699187,0.9898373983739838,57.24766562916851,840.6083754373649,21325.673396919825,0.804,1.0,0.9860279441117764,0.9354674796747968
IIFL.NS,0.023215067893123,0.3053196423045123,0.3614640013534593,0.8943089430894309,0.9654471544715448,0.9004065040650406,68.99225784269967,18.205622902901496,553.7198000681614,0.934,0.8542914171656687,0.3812375249500998,0.9216463414634146
LTF.NS,0.0045513454769348,0.3229438297318577,1.184481254546143,0.7154471544715447,0.975609756097561,0.9979674796747968,64.57088035086116,9.797470915335223,296.30468243871104,0.9,0.7964071856287425,0.2035928143712574,0.9195121951219511
FORCEMOT.NS,0.0831416946753935,0.0810073203318746,1.6483992831104188,0.9939024390243902,0.7459349593495935,1.0,61.73322892195249,113.44624166642824,17509.372375830288,0.868,0.9800399201596808,0.9820359281437124,0.9095528455284553
BANKBARODA.NS,0.0419556392496273,0.2806853084796636,0.2615400068260715,0.959349593495935,0.951219512195122,0.8414634146341463,68.36617421260748,5.336076668997521,287.2191468975513,0.928,0.7644710578842315,0.1996007984031936,0.909349593495935
CUB.NS,0.0032657662097792,0.4173087609382437,0.5583375827574459,0.6890243902439024,0.9979674796747968,0.9654471544715448,66.81688134403598,11.111979335495676,266.06374344855146,0.918,0.8063872255489022,0.1756487025948103,0.9077235772357723
GMRAIRPORT.NS,0.0221056628243609,0.264719567575674,0.3093353436706416,0.8861788617886179,0.9471544715447154,0.8739837398373984,89.1704839257611,4.023371356811055,102.19535137137233,0.996,0.7445109780439122,0.059880239520958,0.9026422764227642
MCX.NS,0.0018477098123115,0.3499312061848915,0.6355125313608628,0.6707317073170732,0.9817073170731708,0.975609756097561,71.87028657616892,312.7537770590952,9819.670324630695,0.96,0.994011976047904,0.9620758483033932,0.9015243902439025
HEROMOTOCO.NS,0.0268882913713028,0.1577255190152489,0.380931219728029,0.9146341463414634,0.8800813008130082,0.9085365853658536,94.62616822429906,204.05091206546692,5912.781803816587,1.0,0.9900199600798404,0.9281437125748504,0.9001016260162602
PAYTM.NS,0.0652157204928585,0.0936951511684457,0.5295496464566127,0.9878048780487804,0.7764227642276422,0.9491869918699188,61.94955839707141,14.820865749453787,1303.678878292538,0.87,0.8403193612774451,0.6327345309381237,0.8983739837398375
