Symbol,Latest_Close,Price_1D,Price_1W,Price_1M,Price_3M,Price_6M,Price_1Y,Return_1D,Return_1W,Return_1M,Return_3M,Return_6M,Return_1Y
HSCL.NS,459.20001220703125,463.5,476.75,459.79998779296875,450.5,497.29998779296875,564.6853637695312,-0.9277212066814995,-3.6811720593536967,-0.13048621180208625,1.931190279030244,-7.661366684327955,-18.680376423843782
ABCAPITAL.NS,355.8999938964844,358.95001220703125,358.75,329.6000061035156,289.70001220703125,225.1999969482422,200.1300048828125,-0.8497055876370103,-0.7944267884364111,7.97936508068779,22.85121812219461,58.0372996089698,77.83440024642185
BRIGADE.NS,868.5999755859375,875.5499877929688,883.1500244140625,958.9000244140625,904.3499755859375,1257.96337890625,1276.76513671875,-0.7937881678863822,-1.64751723103653,-9.41704521107954,-3.9531156040378295,-30.951886982500938,-31.968695682103704
CRAFTSMAN.NS,7035.0,6972.0,7102.5,7072.0,6773.5,5501.86279296875,5083.71533203125,0.9036144578313252,-0.9503695881731784,-0.5231900452488687,3.8606333505573187,27.865784093899304,38.383043512963475
ANANTRAJ.NS,503.04998779296875,508.8999938964844,526.2999877929688,620.0,518.6500244140625,569.8640747070312,737.0628051757812,-1.1495394328311936,-4.417632631438685,-18.862905194682458,-3.007815653478021,-11.724565537564692,-31.74937274537996
TARIL.NS,237.0,240.5500030517578,236.89999389648438,296.6499938964844,496.5,533.7999877929688,522.5332641601562,-1.4757859100895452,0.04221448125461902,-20.107869584955786,-52.26586102719033,-55.60134780446659,-54.6440358431689
HEG.NS,536.5,547.0999755859375,520.5,522.1500244140625,499.1000061035156,522.6378784179688,570.9158935546875,-1.937484200138202,3.073967339097022,2.748247613708438,7.493486964359493,2.652337718802943,-6.02818978123103
CENTURYPLY.NS,836.7999877929688,828.9000244140625,801.5,763.75,787.2024536132812,783.7568359375,798.088623046875,0.9530658880714379,4.4042405231402055,9.564646519537643,6.3004801308778235,6.767807236031384,4.850509533428103
EMCURE.NS,1402.4000244140625,1409.0999755859375,1396.199951171875,1369.699951171875,1372.699951171875,1319.7708740234375,1366.0751953125,-0.4754773463883568,0.44406771658913047,2.387389531131273,2.1636245573428137,6.26087088425605,2.6590651251267996
IIFL.NS,568.9000244140625,563.1500244140625,569.3499755859375,540.3499755859375,440.45001220703125,429.20001220703125,442.75,1.0210423067960743,-0.07902892617356133,5.283621748509617,29.163357622216157,32.548930156983495,28.49238270221626
