Symbol,Latest,P1D,P1W,P1M,P3M,P6M,P1Y,R1D,R1W,R1M,R3M,R6M,R1Y
HSCL.NS,488.20001220703125,488.20001220703125,471.04998779296875,446.79998779296875,440.54998779296875,466.6499938964844,414.1258850097656,0.0,3.6408077398359064,9.265896496229495,10.816031264187679,4.618026056446762,17.88686239584344
ABCAPITAL.NS,349.29998779296875,349.29998779296875,349.54998779296875,347.45001220703125,325.6499938964844,273.0,154.08999633789062,0.0,-0.07152052888872358,0.5324436669857346,7.262396542221981,27.94871347727793,126.68570062589852
BRIGADE.NS,729.8499755859375,729.8499755859375,740.25,760.1500244140625,898.7000122070312,937.5999755859375,971.3508911132812,0.0,-1.404934064716312,-3.9860616792692776,-18.788253513698205,-22.157637095731587,-24.862376483801395
CRAFTSMAN.NS,7876.5,7876.5,7994.5,7198.5,6770.0,7013.5,4017.413818359375,0.0,-1.4760147601476015,9.418628881016879,16.34416543574594,12.304840664432879,96.05896619374383
ANANTRAJ.NS,543.9000244140625,543.9000244140625,556.1500244140625,501.3999938964844,610.4500122070312,535.75,509.98614501953125,0.0,-2.20264307511379,8.476272643583716,-10.901791541024433,1.5212364748600093,6.649960930454774
TARIL.NS,302.5199890136719,302.5199890136719,299.80999755859375,232.5,313.1499938964844,513.5499877929688,382.5413513183594,0.0,0.9039029642593871,30.116124306955644,-3.3945409835538363,-41.092396805658375,-20.918356153892486
HEG.NS,564.75,564.75,553.5999755859375,528.9000244140625,503.45001220703125,504.29998779296875,342.0313720703125,0.0,2.014094094253015,6.778214016090016,12.175982978774993,11.986915262795508,65.11643261890681
CENTURYPLY.NS,754.75,754.75,764.75,739.4500122070312,770.5499877929688,725.5306396484375,726.429443359375,0.0,-1.3076168682576006,2.0691037312046268,-2.050481869219611,4.027308945314978,3.898597021295903
EMCURE.NS,1434.5,1434.5,1463.0,1530.800048828125,1361.699951171875,1405.593505859375,992.6473999023438,0.0,-1.948051948051948,-6.29083131411223,5.346262131057102,2.0565329890985566,44.51254293731344
IIFL.NS,502.45001220703125,502.45001220703125,511.8999938964844,517.322265625,536.0338134765625,438.455810546875,303.25616455078125,0.0,-1.8460601293470782,-2.8748527574008285,-6.265239323563618,14.595359468571731,65.68501186161191
BLUEJET.NS,409.3999938964844,409.3999938964844,359.3500061035156,432.45001220703125,555.25,787.4147338867188,750.5795288085938,0.0,13.927921787359363,-5.330100048537379,-26.26744819514014,-48.0070696828766,-45.455480973970715
GMDCLTD.NS,560.8499755859375,560.8499755859375,576.6500244140625,518.7999877929688,488.8999938964844,417.1136169433594,250.5920867919922,0.0,-2.739971934307906,8.10524070593254,14.716707422313288,34.45976175409693,123.80993061903014
VENTIVE.NS,713.7999877929688,713.7999877929688,727.9500122070312,723.4500122070312,719.6500244140625,712.9000244140625,643.75,0.0,-1.9438181436609674,-1.3338895917111315,-0.8129002185273095,0.12623977389339217,10.881551501820388
PHOENIXLTD.NS,1692.5999755859375,1692.5999755859375,1770.4000244140625,1726.5,1715.699951171875,1434.597412109375,1542.5740966796875,0.0,-4.394489818981671,-1.9635114053902403,-1.3463878442241324,17.98431819957111,9.725683792381389
FEDERALBNK.NS,295.6499938964844,295.6499938964844,290.8500061035156,278.54998779296875,245.05999755859375,194.68148803710938,179.60276794433594,0.0,1.6503309926905758,6.1389362243394325,20.643922648287212,51.86343441145714,64.61327254606388
ADVENTHTL.NS,198.08999633789062,198.08999633789062,216.72000122070312,175.8000030517578,245.89999389648438,,,0.0,-8.59634771958131,12.679176848233812,-19.44286244216832,,
LATENTVIEW.NS,345.20001220703125,345.20001220703125,392.75,391.95001220703125,482.95001220703125,398.79998779296875,396.8500061035156,0.0,-12.10693514779599,-11.927541406812423,-28.522620668440783,-13.440315252407467,-13.014991332269709
MANYAVAR.NS,407.25,407.25,434.79998779296875,484.5,608.1500244140625,735.75244140625,819.6575927734375,0.0,-6.336243920523465,-15.944272445820435,-33.03461585940487,-44.64850171320946,-50.31461873951451
SARDAEN.NS,519.3499755859375,519.3499755859375,510.70001220703125,464.25,490.04998779296875,552.7626953125,470.71856689453125,0.0,1.6937464601821206,11.86860001851104,5.978979394515791,-6.044677039515643,10.331313041727237
FSL.NS,227.89999389648438,227.89999389648438,254.39768981933594,306.9017639160156,351.9681701660156,351.52777099609375,338.5250244140625,0.0,-10.415855561294315,-25.741712596070403,-35.249828474833684,-35.168708506100685,-32.67853852430967
JUBLINGREA.NS,602.4500122070312,602.4500122070312,624.8499755859375,636.1932373046875,717.0374755859375,699.0554809570312,640.4095458984375,0.0,-3.58485464577337,-5.3039270333356034,-15.98067985013886,-13.819427982703713,-5.9273841145125985
